120 - don quixote of la mancha
6 - at the entrance of the
6 - befell don quixote in the
6 - came to an end and
6 - came to the conclusion that
6 - continued the adventure of the
6 - don quixote and sancho panza
6 - don quixote when he saw
6 - famous don quixote of la
6 - for i would have thee
6 - for the disenchantment of dulcinea
6 - for the love of god
6 - gentleman don quixote of la
6 - he made up his mind
6 - i am don quixote of
6 - i will take care to
6 - if the truth is to
6 - in that case said sancho
6 - in the dress of a
6 - in the following chapter chapter
6 - in the whole course of
6 - is continued the adventure of
6 - lifted up his voice and
6 - of the bachelor samson carrasco
6 - of the books of chivalry
6 - of what happened don quixote
6 - quixote of la mancha is
6 - quixote of la mancha who
6 - sancho said don quixote at
6 - sancho said don quixote i
6 - soon as he saw him
6 - that is to say the
6 - that passed between don quixote
6 - the curate and the bachelor
6 - the duke and duchess were
6 - the end of the world
6 - the famous don quixote of
6 - the history of don quixote
6 - the land of the christians
6 - the servants of don luis
6 - the truth is to be
6 - the valiant don quixote of
6 - thee sancho said don quixote
6 - there is no need to
6 - there is nothing for it
6 - took it into his head
6 - truth is to be told
6 - truth of what i say
6 - what befell don quixote with
6 - which the valiant don quixote
6 - which was one of the
6 - who the knight of the
6 - will be told in the
6 - would not on any account
5 - a good deal to be
5 - a piece of bread and
5 - adventure of the distressed duenna
5 - adventure of the knight of
5 - all i know is that
5 - and all the rest of
5 - and had it not been
5 - and if that be so
5 - and seizing him by the
5 - as he was about to
5 - as if it had been
5 - at the foot of a
5 - at the foot of the
5 - at the gate of the
5 - at the same time he
5 - braced his buckler on his
5 - brought him to the ground
5 - by god and upon my
5 - by the light of the
5 - by the might of my
5 - deal to be said on
5 - don know what to say
5 - don quixote and sancho were
5 - don quixote said the duchess
5 - find myself i neither lose
5 - for it seemed to him
5 - for it seems to me
5 - for the sake of the
5 - friend said don quixote for
5 - from head to foot and
5 - go so far as to
5 - good deal to be said
5 - he of the rueful countenance
5 - he of the white moon
5 - he said to him senor
5 - him as a knight errant
5 - him of the rueful countenance
5 - himself in the middle of
5 - i don know what i
5 - i find myself i neither
5 - i may be able to
5 - i neither lose nor gain
5 - in such a way as
5 - in that case said the
5 - in the middle of this
5 - is a good deal to
5 - is nothing for it but
5 - it into his head that
5 - it is not right that
5 - it sancho said don quixote
5 - it will be well to
5 - it will not do to
5 - it would be as well
5 - it would be no wonder
5 - it would have been impossible
5 - might of my arm and
5 - myself i neither lose nor
5 - naked i find myself i
5 - of the duke and duchess
5 - of the lady dulcinea del
5 - on one side of the
5 - one of the rarest adventures
5 - otherwise called the knight of
5 - out in a loud voice
5 - quixote of la mancha sonnet
5 - said don quixote for there
5 - said in a loud voice
5 - sancho said don quixote thou
5 - seemed to him to be
5 - that i can well believe
5 - the adventure of the knight
5 - the best of it is
5 - the head of the table
5 - the middle of the road
5 - the officers of the brotherhood
5 - the order of knight errantry
5 - the twelve peers of france
5 - the twinkling of an eye
5 - the wall of the yard
5 - there is a good deal
5 - there is no occasion to
5 - this master of mine is
5 - though to tell the truth
5 - to be so good as
5 - to go in search of
5 - to put an end to
5 - to the land of the
5 - to which don quixote returned
5 - true said don quixote and
5 - turned to sancho and said
5 - what are we to do
5 - what is to be done
5 - would have you know that
4 - a couple of slaps on
4 - aeneas what worse shall i
4 - after the fashion of the
4 - all his heart to god
4 - all my heart said the
4 - all or most of the
4 - all that can be said
4 - all the days of his
4 - all the rest of it
4 - all the rest of the
4 - and as soon as the
4 - and he said so to
4 - and i can tell you
4 - and i don know what
4 - and if i have been
4 - and if it were not
4 - and it may be that
4 - and master nicholas the barber
4 - and so he went on
4 - and that you may see
4 - and the first thing he
4 - and the rest of the
4 - and undreamt of adventure of
4 - and you will see that
4 - and you will see the
4 - as far as he could
4 - as i have already said
4 - as if he had been
4 - as it seemed to him
4 - as much as he could
4 - as much as you like
4 - as soon as they had
4 - as well as i can
4 - aside out of the road
4 - asked him what he had
4 - asked him what he was
4 - at the head of the
4 - at the point of death
4 - bad luck to you and
4 - barabbas go with thee all
4 - be at a loss for
4 - be said on that point
4 - be told in the following
4 - bireno aeneas what worse shall
4 - born naked i find myself
4 - bracing his buckler on his
4 - but as soon as he
4 - by the life of my
4 - call thee barabbas go with
4 - called don quixote of la
4 - came up to the inn
4 - chapter ii which treats of
4 - chapter xiii in which is
4 - comes to the same thing
4 - could not help laughing at
4 - cried out in a loud
4 - death the knight of the
4 - did i not tell thee
4 - does not seem to me
4 - don distress a good payer
4 - don fernando and his companions
4 - don quixote but i know
4 - don quixote for i am
4 - don quixote for i will
4 - don quixote gave sancho panza
4 - don quixote had in the
4 - don quixote had with the
4 - don quixote in the castle
4 - don quixote on his way
4 - don quixote said to him
4 - don quixote took leave of
4 - don quixote was about to
4 - don quixote when he heard
4 - fell on his knees before
4 - for all that it is
4 - for let me tell thee
4 - for that is the name
4 - for that was the name
4 - gave rocinante the spur and
4 - get out of the way
4 - go to the land of
4 - go with thee all evil
4 - god be with you and
4 - going in quest of adventures
4 - have nothing to do with
4 - he did not care to
4 - he drew his sword and
4 - he of the green gaban
4 - he took to be a
4 - held with his master don
4 - his squire together with other
4 - history of don quixote of
4 - i am about to say
4 - i am now about to
4 - i call thee barabbas go
4 - i can well believe said
4 - i have a mind to
4 - i have already told thee
4 - i have heard it said
4 - i have to tell you
4 - i will not venture to
4 - ii which treats of the
4 - in a few words the
4 - in god hand be it
4 - in order to be able
4 - in quest of adventures and
4 - in the course of this
4 - in the course of which
4 - in the heart of the
4 - in the midst of his
4 - in the right of it
4 - in the whole of it
4 - in the world and that
4 - in which are continued the
4 - ingenious gentleman don quixote of
4 - into the midst of the
4 - is related the adventure of
4 - it again as long as
4 - it is all the same
4 - it is not to be
4 - it said don quixote and
4 - it seems to me senor
4 - it seems to me thou
4 - it so happened then that
4 - it will not do for
4 - it would have been better
4 - it would not be so
4 - it would not have been
4 - known who the knight of
4 - la mancha otherwise called the
4 - lady dulcinea del toboso he
4 - leave it to me to
4 - leave of the duke and
4 - let me tell you senor
4 - make an end of it
4 - mancha otherwise called the knight
4 - master don quixote of la
4 - might of his strong arm
4 - more than half a league
4 - my master don quixote of
4 - nothing to do with the
4 - of flesh and blood and
4 - of la mancha don quixote
4 - of la mancha otherwise called
4 - of my lord the duke
4 - of my master don quixote
4 - of our worthy knight don
4 - of the great kingdom of
4 - of the mirrors and his
4 - of the puppet showman together
4 - of the rueful countenance and
4 - of the strange adventure which
4 - of the white moon was
4 - of what passed between don
4 - officers of the holy brotherhood
4 - on foot and on horseback
4 - on foot or on horseback
4 - on the faith of a
4 - on the right hand side
4 - our worthy knight don quixote
4 - panza governor of the island
4 - panza held with his master
4 - pledges don distress a good
4 - quixote and his squire sancho
4 - quixote of la mancha i
4 - quixote of la mancha otherwise
4 - quixote of la mancha was
4 - quixote of la mancha whose
4 - quixote on his way to
4 - read the first part of
4 - related the adventure of the
4 - said don quixote and the
4 - said don quixote i have
4 - said don quixote i will
4 - said don quixote that thou
4 - said it seems to me
4 - said on that point said
4 - said sancho that your worship
4 - said to him in a
4 - said to his master senor
4 - sancho all i know is
4 - sancho panza and his wife
4 - sancho panza governor of the
4 - sancho panza held with his
4 - sancho said don quixote but
4 - shall i call thee barabbas
4 - shut up in a cage
4 - so as not to see
4 - so much so that he
4 - soon as he had done
4 - stand in need of it
4 - such a way as to
4 - such a way that i
4 - such a way that the
4 - that befell don quixote in
4 - that don quixote of la
4 - that he was unable to
4 - that is the name of
4 - that is the truth said
4 - that sancho said don quixote
4 - that there was not a
4 - that was the name of
4 - the author of this history
4 - the bowels of the earth
4 - the darkness of the night
4 - the daughter of dona rodriguez
4 - the days of his life
4 - the duke and duchess to
4 - the duke the duchess and
4 - the first part of this
4 - the great kingdom of micomicon
4 - the ingenious gentleman don quixote
4 - the marshal of the field
4 - the notable adventure of the
4 - the order of knighthood which
4 - the puppet showman together with
4 - the servants of the house
4 - the squires of knights errant
4 - the valiant don quixote had
4 - thee all evil befall thee
4 - thee barabbas go with thee
4 - there came up to the
4 - there can be no doubt
4 - there is no need of
4 - there is no reason why
4 - there was no necessity for
4 - they did not let him
4 - they saw coming towards them
4 - they were not a little
4 - thou must know sancho that
4 - till death the knight of
4 - to be found in the
4 - to be said on that
4 - to see if he could
4 - to take the trouble of
4 - to the best of my
4 - to the lady dulcinea del
4 - to the prejudice of the
4 - to this sancho made answer
4 - told in the following chapter
4 - took place between don quixote
4 - took to be a castle
4 - true said don quixote but
4 - undreamt of adventure of the
4 - up his voice and said
4 - utter a word in reply
4 - was as has been said
4 - was listening to all this
4 - was the name of the
4 - well as he could and
4 - well said don quixote but
4 - well then let me tell
4 - what happened don quixote on
4 - what he had seen in
4 - what he had to say
4 - what i am about to
4 - what i am going to
4 - what passed between don quixote
4 - what was the matter with
4 - what will be told in
4 - what worse shall i call
4 - when they offer thee a
4 - wherein is related the strange
4 - which he was able to
4 - which is continued the adventure
4 - which treats of the strange
4 - while this was going on
4 - who as soon as he
4 - will not allow me to
4 - will not be able to
4 - with his master don quixote
4 - with other matters worthy of
4 - with tears in his eyes
4 - with the duke and duchess
4 - with thee all evil befall
4 - without saying a word to
4 - worse shall i call thee
4 - would be no wonder if
4 - would have been impossible for
4 - would not be so bad
4 - you will be able to
3 - a broken leg and keep
3 - a couple of dozen of
3 - a friend of his who
3 - a gentleman and a christian
3 - a grain of mustard seed
3 - a great deal to do
3 - a heifer run with a
3 - a matter of great importance
3 - a quarter of a league
3 - a sparrow in the hand
3 - a village in the mountains
3 - a village of la mancha
3 - a vulture on the wing
3 - about the cave of montesinos
3 - about to say to you
3 - academician of argamasilla on the
3 - according to the laws of
3 - advanced to kneel before the
3 - adventure of the enchanted bark
3 - again as long as thou
3 - all for distant dulcinea del
3 - all my heart senor said
3 - all or most of them
3 - all that said don quixote
3 - all the knights errant that
3 - all the people of the
3 - am about to say to
3 - among other things he said
3 - an out of the way
3 - and all for distant dulcinea
3 - and all the while he
3 - and as he could not
3 - and as he did so
3 - and as i have heard
3 - and as there is no
3 - and bad luck to you
3 - and commending himself with all
3 - and could not make out
3 - and god be with you
3 - and god grant it may
3 - and grasping his lance he
3 - and he resolved in his
3 - and his squire sancho panza
3 - and i will take care
3 - and i would not have
3 - and if he does not
3 - and if i do not
3 - and if it be a
3 - and if it was not
3 - and if thou wilt not
3 - and in a loud voice
3 - and in a low voice
3 - and it is they that
3 - and let me tell you
3 - and lucky it was for
3 - and many more that i
3 - and more by token it
3 - and much good may it
3 - and said he to himself
3 - and sancho panza his squire
3 - and set him down as
3 - and that it would be
3 - and the barber who had
3 - and the other on the
3 - and the reason is that
3 - and there we will leave
3 - and they were not a
3 - and though he strove to
3 - and would have done so
3 - and you will see how
3 - any knights errant in the
3 - are on the flow and
3 - are to be found in
3 - are you going to look
3 - argamasilla on the tomb of
3 - arm and drawing his sword
3 - art bred but with whom
3 - art in the right of
3 - as a great favour and
3 - as all the world knows
3 - as earnestly as i can
3 - as has been said and
3 - as he said this he
3 - as he said to himself
3 - as i have heard say
3 - as i mean to do
3 - as if it were a
3 - as long as thou livest
3 - as much as to say
3 - as on the former occasion
3 - as soon as he found
3 - as soon as he heard
3 - as soon as i saw
3 - as soon as sancho saw
3 - as the mother that bore
3 - as the saying is and
3 - as the saying is the
3 - as they ought to be
3 - as well as i could
3 - as well as i remember
3 - as well as thou canst
3 - as will be seen farther
3 - as you very well know
3 - as you will see in
3 - asked he of the grove
3 - at such a pace that
3 - at the end of a
3 - at the end of that
3 - at the same time i
3 - at the same time that
3 - at the same time they
3 - at the sight of the
3 - be don quixote of la
3 - be glad if it were
3 - be glad if your worship
3 - be in my power to
3 - be it by all means
3 - be on the look out
3 - be seen farther on chapter
3 - because it seems to me
3 - behind the cross there the
3 - better than two i give
3 - between sancho panza and his
3 - bred but with whom thou
3 - bring myself to believe that
3 - broken leg and keep at
3 - brought to a happy conclusion
3 - but for all that he
3 - but for all that the
3 - but i don know what
3 - but it is no wonder
3 - but to suppose that i
3 - but up to the present
3 - but with whom thou art
3 - by a card too many
3 - by all that good said
3 - by the order of knighthood
3 - by the side of a
3 - by the side of the
3 - came up to him and
3 - can neither read nor write
3 - can well believe said sancho
3 - come for wool and go
3 - come out in the scouring
3 - come to the conclusion that
3 - concluded that it must be
3 - conversation came to an end
3 - could not make out what
3 - couple of slaps on the
3 - course of this great history
3 - curate and for that reason
3 - curate and the barber made
3 - curate and the barber of
3 - curate and the barber on
3 - do not mean to say
3 - do with all my heart
3 - don fernando cardenio and the
3 - don galaor the brother of
3 - don quixote and it is
3 - don quixote and sancho reached
3 - don quixote but i cannot
3 - don quixote but tell me
3 - don quixote fell in with
3 - don quixote for there is
3 - don quixote i should like
3 - don quixote is it possible
3 - don quixote laughed at sancho
3 - don quixote niece and housekeeper
3 - don quixote replied that he
3 - don quixote sancho panza and
3 - don quixote saw them he
3 - don quixote tears are on
3 - don quixote that it is
3 - don quixote who was listening
3 - errant that have ever been
3 - exclaimed in a loud voice
3 - fairest creature in the world
3 - famous knight don quixote of
3 - fell to the ground with
3 - find a way out of
3 - first part of this history
3 - flow and all for distant
3 - for all that said don
3 - for distant dulcinea del toboso
3 - for i know well what
3 - for i swear to you
3 - for i want to see
3 - for it is impossible to
3 - for my own part i
3 - for so long as i
3 - for the present let us
3 - for the sake of doing
3 - for there would be no
3 - for wool and go back
3 - found that it ran as
3 - from that time forth he
3 - from time to time and
3 - gave them a minute account
3 - give me something to eat
3 - give me your attention for
3 - glad if your worship would
3 - go in search of him
3 - god and to his lady
3 - god and upon my soul
3 - god be with you for
3 - god bless me said the
3 - god knows what i mean
3 - got to do with the
3 - great city of el toboso
3 - great friend of mine and
3 - had been present at the
3 - had given it to him
3 - had hardly uttered these words
3 - had it not been for
3 - had it not been that
3 - had made an end of
3 - had never been able to
3 - had read of in his
3 - happened to him in the
3 - hardly uttered these words when
3 - has nothing to do with
3 - have a broken leg and
3 - have to do is to
3 - he brought him to the
3 - he came to the conclusion
3 - he did not dare to
3 - he gave rocinante the spur
3 - he had good reason to
3 - he had left his master
3 - he had read of in
3 - he had seen in the
3 - he knew not what to
3 - he lifted up his voice
3 - he of the grove and
3 - he of the grove said
3 - he replied that it was
3 - he resolved in his heart
3 - he said to him it
3 - he said to his master
3 - he told him he was
3 - he turned to sancho and
3 - he was not to be
3 - he was out of his
3 - head of the table and
3 - heart of the sierra morena
3 - heifer run with a halter
3 - help for the holy brotherhood
3 - her from head to foot
3 - him in a low voice
3 - him in the cave of
3 - him so that he might
3 - him something to eat and
3 - himself in front of the
3 - himself off his horse and
3 - his arm and drawing his
3 - his good squire sancho panza
3 - his hand upon his sword
3 - his master don quixote and
3 - history goes on to say
3 - i am inclined to think
3 - i am not to be
3 - i am now going to
3 - i am one of the
3 - i am replied don quixote
3 - i am said sancho and
3 - i am telling the truth
3 - i ask no more than
3 - i beg of your worship
3 - i can tell you i
3 - i do not concern myself
3 - i do not know what
3 - i do not mean to
3 - i don know if i
3 - i feel as if i
3 - i have many a time
3 - i have no desire to
3 - i have no intention of
3 - i have nothing to say
3 - i have told thee already
3 - i know not how to
3 - i say so because if
3 - i shall be able to
3 - i shall not be able
3 - i should like to see
3 - i swear by all that
3 - i swear to you by
3 - i will do with all
3 - i will take care that
3 - i would be glad if
3 - i would not have thee
3 - if he does not want
3 - if i remember rightly i
3 - if it be that you
3 - if it had not been
3 - if it was not for
3 - if it were god will
3 - if it were not for
3 - if that be so i
3 - if that be so said
3 - if they did not let
3 - if you want to know
3 - in all the days of
3 - in his full senses and
3 - in my power to give
3 - in order to see if
3 - in peace and good fellowship
3 - in peace and quiet without
3 - in quest of don quixote
3 - in such a dress and
3 - in the arms of her
3 - in the bowels of the
3 - in the castle or house
3 - in the course of it
3 - in the course of time
3 - in the direct male line
3 - in the first part of
3 - in the middle of a
3 - in the midst of the
3 - in the mountains of leon
3 - in the name of all
3 - in the name of the
3 - in the same estimation as
3 - in the same way as
3 - in the twinkling of an
3 - in the world that can
3 - in which he had been
3 - is a great difference between
3 - is all i have to
3 - is as true as that
3 - is no reason why i
3 - is none other than to
3 - is nothing in the world
3 - is one of the most
3 - is the name of the
3 - it and as soon as
3 - it by all means said
3 - it did not seem to
3 - it for there is no
3 - it is my belief that
3 - it is no wonder if
3 - it is no wonder that
3 - it is not fitting that
3 - it is not right to
3 - it is the part of
3 - it said don quixote but
3 - it said don quixote i
3 - it seemed to me that
3 - it seems to me i
3 - it seems to me it
3 - it was easy to see
3 - it was not to be
3 - it will be better for
3 - it worse to stir it
3 - it would be a nice
3 - knew not what to do
3 - knew not what to say
3 - knight of the green gaban
3 - knight of the mirrors and
3 - knights errant that have ever
3 - know what i am saying
3 - lady dona dulcinea del toboso
3 - lady dulcinea del toboso and
3 - lady dulcinea del toboso for
3 - leg and keep at home
3 - let them say what they
3 - let us say no more
3 - lose by a card too
3 - made the circuit of the
3 - makes it worse to stir
3 - master of mine is a
3 - master pedro and his ape
3 - me in such a way
3 - mind what you are saying
3 - more to the same effect
3 - much good may it do
3 - much to the prejudice of
3 - my lady the duchess and
3 - my lady the duchess has
3 - my master don quixote is
3 - my master don quixote who
3 - my son said don quixote
3 - never see it again as
3 - no doubt he would have
3 - not said don quixote for
3 - not to be uneasy for
3 - not with whom thou art
3 - of argamasilla on the tomb
3 - of don quixote and his
3 - of don quixote and sancho
3 - of don quixote and the
3 - of don quixote madness and
3 - of god and the king
3 - of it sancho said don
3 - of it was that the
3 - of la mancha and the
3 - of my lady the duchess
3 - of the adventure of the
3 - of the cave of montesinos
3 - of the cortes of death
3 - of the great don quixote
3 - of the grove said to
3 - of the history of don
3 - of the holy brotherhood and
3 - of the rueful countenance for
3 - of the rueful countenance i
3 - of the rueful countenance that
3 - of the strangest and most
3 - of the truth of what
3 - of what took place between
3 - offer thee a heifer run
3 - on his arm and drawing
3 - on his knees before him
3 - on the face of the
3 - on the first opportunity that
3 - on the flow and all
3 - on the other hand i
3 - on the way to their
3 - order of knighthood which i
3 - order to be able to
3 - out of his wits and
3 - over the hills of ubeda
3 - over the wall of the
3 - panza and his wife teresa
3 - part of the history of
3 - passed between sancho panza and
3 - prove the truth of what
3 - put an end to the
3 - quixote for i am not
3 - quixote for there is no
3 - quixote said the duchess that
3 - quixote sancho panza and the
3 - quixote tears are on the
3 - quixote took leave of the
3 - remedy for everything except death
3 - replied don quixote and i
3 - replied that it was a
3 - resolved in his heart to
3 - returned he of the grove
3 - right of it sancho said
3 - right sancho said don quixote
3 - said don quixote and as
3 - said don quixote and don
3 - said don quixote but let
3 - said don quixote but tell
3 - said don quixote i say
3 - said don quixote if i
3 - said don quixote if thou
3 - said don quixote that i
3 - said don quixote when he
3 - said he to his master
3 - said sancho all i know
3 - said sancho for i am
3 - said sancho it must be
3 - said the curate and for
3 - said to him in truth
3 - saint peter is very well
3 - sancho panza took possession of
3 - sancho replied don quixote but
3 - sancho replied don quixote i
3 - sancho said don quixote not
3 - sancho said don quixote there
3 - sancho said to his master
3 - saw coming along the road
3 - say no more about it
3 - saying he gave rocinante the
3 - second part of don quixote
3 - see it again as long
3 - see that i am not
3 - see what would come of
3 - senor don quixote said don
3 - sent me into the world
3 - service of my master don
3 - shall not be able to
3 - shalt never see it again
3 - should cost him his life
3 - should have a broken leg
3 - so as not to be
3 - so as to make it
3 - so be it by all
3 - so long as it is
3 - so long as they are
3 - so much so that i
3 - so much to the prejudice
3 - so saying he gave rocinante
3 - so that he might with
3 - son said don quixote and
3 - soon as he found himself
3 - stretched him on the ground
3 - such a way that he
3 - suppose that i am going
3 - swear by all that good
3 - take a pulpit in hand
3 - tears are on the flow
3 - tell me who thou art
3 - than a vulture on the
3 - than two i give thee
3 - that can be said is
3 - that case said the curate
3 - that ever served knight errant
3 - that he must be some
3 - that he would not have
3 - that heaven has bestowed upon
3 - that i am going to
3 - that i am not the
3 - that i will do with
3 - that in the course of
3 - that it must be some
3 - that it ran as follows
3 - that said don quixote is
3 - that this is not a
3 - that you are not enchanted
3 - the adventure of the enchanted
3 - the affair of the blanket
3 - the ape and the show
3 - the ass by the halter
3 - the author of the history
3 - the bachelor samson carrasco and
3 - the back of an ass
3 - the back of the saddle
3 - the books of chivalry and
3 - the canon and the curate
3 - the castle or house of
3 - the cave of montesinos and
3 - the cave of montesinos in
3 - the courtyard of the castle
3 - the cross there the devil
3 - the curate and for that
3 - the curate of our village
3 - the devil who never sleeps
3 - the discord of agramante camp
3 - the duchess and the duke
3 - the duchess asked don quixote
3 - the duke and don quixote
3 - the duke and duchess as
3 - the duke and duchess who
3 - the end of which he
3 - the entrance of the town
3 - the face of the earth
3 - the fact of the matter
3 - the fairest creature in the
3 - the first part of his
3 - the flow and all for
3 - the goletta and the fort
3 - the great city of el
3 - the haunches of his horse
3 - the head of the giant
3 - the history goes on to
3 - the instant don quixote saw
3 - the kingdom of aragon and
3 - the knight of the green
3 - the knights errant of yore
3 - the lady in the coach
3 - the lakes of ruidera which
3 - the landlady and her daughter
3 - the laws of knight errantry
3 - the might of his arm
3 - the might of his strong
3 - the mirrors and his squire
3 - the mother that bore her
3 - the mother that bore him
3 - the music of the clarions
3 - the owner of the ass
3 - the pack saddle on the
3 - the pair of them were
3 - the prayer of santa apollonia
3 - the rays of the sun
3 - the right of it sancho
3 - the second part of the
3 - the service of my master
3 - the sierra morena which was
3 - the squire of the grove
3 - the story of the famous
3 - the three thousand three hundred
3 - the unexampled and unheard of
3 - the wedding of camacho the
3 - the words of don quixote
3 - thee a heifer run with
3 - thee sancho replied don quixote
3 - them a minute account of
3 - them say what they like
3 - there is a great difference
3 - there is no reason for
3 - there is not one of
3 - there is nothing in the
3 - there was no help for
3 - there was no occasion for
3 - there was no possibility of
3 - there will be no want
3 - there will be time enough
3 - there would have been no
3 - they came in sight of
3 - they offer thee a heifer
3 - they ought to have been
3 - they signed the cross on
3 - things he said to him
3 - this don quixote said to
3 - this sancho said don quixote
3 - thou art bred but with
3 - thou art in the right
3 - thou shalt never see it
3 - three thousand three hundred lashes
3 - to all this don quixote
3 - to be a knight errant
3 - to be of service to
3 - to carry on the joke
3 - to come to the point
3 - to do good to all
3 - to fall in with his
3 - to give me leave to
3 - to give me the government
3 - to go on with his
3 - to god and to his
3 - to him in a low
3 - to him in the cave
3 - to his wife teresa panza
3 - to make an end of
3 - to me i will not
3 - to me to be a
3 - to my lady the duchess
3 - to my wife teresa panza
3 - to see if it were
3 - to see what would be
3 - to see what would come
3 - to sit down to table
3 - to suppose that i am
3 - to tell the truth senor
3 - to the account of the
3 - to the best of his
3 - to the cave of montesinos
3 - to the conclusion that the
3 - to the duke and duchess
3 - to the end of the
3 - to the ground don quixote
3 - to the present i have
3 - to this don quixote replied
3 - to utter a word in
3 - told him not to be
3 - trifaldin of the white beard
3 - trust in god and in
3 - turned aside out of the
3 - up as well as he
3 - up in a cage and
3 - up to the present i
3 - us say no more about
3 - village in the mountains of
3 - waiting to see what the
3 - was and what was the
3 - was called the knight of
3 - was deep in love with
3 - was in love with a
3 - was the daughter of a
3 - we shall be able to
3 - wedding of camacho the rich
3 - well sancho said don quixote
3 - well then you must know
3 - went on to say i
3 - what are you talking about
3 - what art thou talking about
3 - what i am now going
3 - what say you to this
3 - what seemed to be a
3 - what we are talking about
3 - when he found himself alone
3 - which it is to be
3 - which the curate and the
3 - which was to this effect
3 - who had been listening to
3 - who had by this time
3 - who was listening to all
3 - who was waiting for them
3 - who were in the inn
3 - whom thou art bred but
3 - will be no want of
3 - will be seen farther on
3 - will come out in the
3 - will do with all my
3 - will see in the end
3 - will your worship tell me
3 - with all my heart senor
3 - with whom thou art bred
3 - with whom thou art fed
3 - wool and go back shorn
3 - would have done so had
3 - would have thee know that
3 - would it not be better
3 - you going to look for
3 - you will see in the
3 - your worship must know that
3 - your worship to let me
3 - yours till death the knight
2 - a bachelor of salamanca and
2 - a bit of it said
2 - a bit of one side
2 - a card too many than
2 - a care what thou dost
2 - a certain dulcinea del toboso
2 - a colour to this great
2 - a couple of sups of
2 - a cuff that bathed his
2 - a dead body together with
2 - a deep sigh and said
2 - a diamond of the finest
2 - a discreet gentleman of la
2 - a dulcinea in el toboso
2 - a fancy to be an
2 - a farm labourer a neighbour
2 - a fine thing it would
2 - a full and particular account
2 - a gentleman of such distinction
2 - a goatherd related to those
2 - a god in heaven who
2 - a good hope is better
2 - a good sign and a
2 - a great friend of his
2 - a great friend of mine
2 - a great number of people
2 - a great troop of people
2 - a house where there plenty
2 - a knight errant and what
2 - a knight errant without a
2 - a large lighted wax taper
2 - a letter which sancho panza
2 - a life in the fields
2 - a little distance from the
2 - a little more than half
2 - a little out of the
2 - a long step from saying
2 - a lover in the sierra
2 - a man dosed with mercury
2 - a man like your worship
2 - a man somewhat advanced in
2 - a moment rest and the
2 - a neighbour of his who
2 - a noise as of a
2 - a pack saddle or a
2 - a point like a pyramid
2 - a point more than the
2 - a pulpit in hand and
2 - a remedy for everything except
2 - a room on the ground
2 - a satisfactory reply to the
2 - a short time he had
2 - a slap on the croup
2 - a stout heart breaks bad
2 - a string of coral beads
2 - a thing so much opposed
2 - a thousand trifling matters as
2 - a tilting at the ring
2 - a time will come when
2 - a very great desire to
2 - a very great friend of
2 - a very important matter for
2 - a way as to make
2 - a way out of all
2 - a way that would have
2 - a wife and children to
2 - a wood that was hard
2 - a word in reply but
2 - a word in reply to
2 - a youth of about fifteen
2 - abbot gets his dinner and
2 - able to make me sleep
2 - about fifteen years of age
